text,label
"Whaat? Para sa Barangay election?
Ganyan kalaki ang bigayan?",0
"Ever since na mapansin ko difference in taste ng Chicken Joy ng Jollibee, I switched to McDo and very consistent sila, imo. Good thing, dumadami na branch ni McDo rito samin, iisa nga lang malapit.",0
Lahat yata ng tv show nung 90's pumatok. Walang naging baduy sa kin dati. Ultimo commercials ok din.,0
tinataboy aftwr 5 mins babalik pag naging forceful ka baka mag amok naman sila talo dun,0
Hindi naman automatic malalagas approval ni Fiona. But it will be. Lalo na kung talagang di titigil sa pagiging simp sa China ang pamilyang yan.,0
"they escape from shelters where they are housed. pwede sila bigyan ng livelihood program or balik probinsya na tutulungan din sana ng LGU kung saan sila uuwi, but since they're used to receiving money by just begging, they rather find a way to escape. the govt cannot force them to stay kasi di naman sila bilanggo. kaya may anti-mendicancy law kasi these beggars will keep going back to the streets hangang may nagbibigay. wala pa dito ung organize crime na pipilayan o bubulagin or puputolan ng limbs ang tao pra mas nakaawa tignan at madaling makalimos. mendicancy is partly the fault of those who gives alms.",0
Di po ba sya illegal? Kasi may anti vagrancy law po tayo.,0
"Yuuuummm may malunggay pa, lulutuin ko yan next week",0
"Hahaha. Swerte mo dzai. Pwede na gamiting pang MONEY LAUNDERING!!!
Labhan o Hugasan mo na lang daw yung pera ng politicians.",0
..empleyado ata ng 7/11 mga yan..lahat kasi ng branch na napuntahan ko meron nanlilimos..😂🤣,0
No non-sense pero ayaw sumagot ng maayos,0
"Nasaan ang bijo? Walang bijo kahit na patago ang kuha?? Kahit na sa paa nakatutok??? 
In this day and age kapag walang video, mahirap paniwalaan. Cool story though.",0
"Maliit kasi yang example mo, OP. Yan lang yung mga tipong nag-babakasakali lang na maalala mo sila kapag kaharap mo na ang balota. Kapag malupitang vote buying for sure win, minimum yan isang sakong bigas yan at 1k.
Also, tignan mo din sa POV ng taong isang kahig, isang tuka. Malaking bagay na ang example mo sa isang mag-anak na nag-uulam ng asin.
Tapos, sa remote provinces where political killings happen, they really can't take this chance. Gasino bang kumuha randomly sa 300 na nabiling botante to 'make an example.' Also, magmula sa bahay nung nabiling botante hanggang sa maihulog yung balota, may nakabantay sa kanila.",0
"Hindi lang Quiboloy ang gumagawa nito ung PMCC 4th watch or Pentecostal nag aantay sa mga train stations at embassy dito nag hihingi nang love offering. Nakaka hiya mga kapwa pinoy na ginawang zombie nang mga kulto na eto. 
Nangagaroling sila sa mga restaurant at bars at kahit saan saan para lang mka pag collecta nang pera para sa mga leader nila na namumuhay na parang sobra pa sa celebrity.",0
"Maghanap pa ulet additional work na di demanding or mas taasan sahod isang work. Note na di siya madali, daling sabihin lang mamser
Goodluck po!",0
"Medyo opposite naman sakin, I like our Christmas now than before hehe. Before kasi nung bata pa ako, tulog lang kami pag pasko and new year kasi wala panghanda. I remember ginigising ko pa nanay ko para manood ng fireworks display haha. Ngayon na nakakaluwag luwag na, may business si mama, father and I have work mas masaya na holidays namin!",0
"website ng Cartoon Network, doon ako naglalaro ng Kick Buttowski saka Ben 10",0
"Mao, 25 years na daw na puli puli lang",0
Hay nako ako nga yung minumulto ng nakalipas eme,0
"Kaya double time ang mga ""wumao"" nya na siraan lahat ng threat sa pagiging presidente nya. Pati si Tulfo tinitira na din",0
Wag feeling. Wala namang may gustong bumalik 👀,0
